# Session 13 pass 3 (NCAA / US college, both disciplines) selection audit — every promoted entry with its evidence links (generated 2026-09-06).
# entryId	qid	group	name	dob	age	handles	dobSources	referenceUrls	wikipedia	usTeams
W-2026-675	Q129156808	beach	Abby Hornacek	1994-04-25	32	Instagram:abbyhornacek;X:abbyhornacek;TikTok:abbyhornacek_	-	http://www.bvbinfo.com/player.asp?ID=13815	https://en.wikipedia.org/wiki/Abby_Hornacek	USC Trojans women's volleyball
W-2026-676	Q19577569	beach	Taylor Pischke	1993-04-18	33	Instagram:taylor_pischke;X:taylorpischke	-	http://www.bvbinfo.com/player.asp?ID=14046	https://en.wikipedia.org/wiki/Taylor_Wilson_(volleyball)	UC Santa Barbara Gauchos women's volleyball
W-2026-677	Q3416056	ncaa	Rachael Adams	1990-06-03	36	Instagram:rachaeladams;X:RADAMSS	-	-	https://en.wikipedia.org/wiki/Rachael_Adams	United States women's national volleyball team;Texas Longhorns women's volleyball
W-2026-678	Q17265995	ncaa	Kelsey Robinson	1992-06-25	34	Instagram:krobin32	-	-	https://en.wikipedia.org/wiki/Kelsey_Robinson	United States women's national volleyball team;Tennessee Lady Volunteers volleyball;Nebraska Cornhuskers women's volleyball
W-2026-679	Q16729605	ncaa	Jennifer Hamson	1992-01-23	34	X:JenHamson	FIBA database	https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=678899090	https://en.wikipedia.org/wiki/Jennifer_Hamson	BYU Cougars women's volleyball
W-2026-680	Q11796105	intl	Odina Aliyeva	1990-05-22	36	Instagram:odina_5_aliyeva	Volleybox	-	https://en.wikipedia.org/wiki/Odina_Aliyeva	Athletes Unlimited Volleyball
W-2026-681	Q17280076	ncaa	TeTori Dixon	1992-08-04	34	X:ToriDixon06	-	http://www.worldofvolley.com/wov-community/players/40253.html	https://en.wikipedia.org/wiki/TeTori_Dixon	Minnesota Golden Gophers women's volleyball
W-2026-682	Q11817026	ncaa	Pilar Marie Victoria	1995-10-11	30	Instagram:pilarvictoria21	-	-	https://en.wikipedia.org/wiki/Pilar_Marie_Victori%C3%A1	Texas Longhorns women's volleyball;Arkansas Razorbacks women's volleyball
W-2026-683	Q17285056	ncaa	Molly Kreklow	1992-02-17	34	Instagram:mkreklowtaylor	Volleybox;WorldofVolley	-	https://en.wikipedia.org/wiki/Molly_Kreklow	Missouri Tigers women's volleyball
W-2026-684	Q9200989	ncaa	Daly Santana	1995-02-19	31	X:dsantana_01	-	-	https://en.wikipedia.org/wiki/Daly_Santana	Minnesota Golden Gophers women's volleyball
W-2026-685	Q26262233	ncaa	Lindsay Dowd	1991-05-14	35	Instagram:nodowdaboutit4	Volleybox	-	-	UC Davis Aggies women's volleyball
W-2026-686	Q19984711	ncaa	Haley Eckerman	1992-11-10	33	Instagram:haymama10	-	-	https://en.wikipedia.org/wiki/Haley_Eckerman	Texas Longhorns women's volleyball
W-2026-687	Q18812039	ncaa	Micha Hancock	1992-11-10	33	Instagram:michahancock	Freebase Data Dumps	-	https://en.wikipedia.org/wiki/Micha_Hancock	United States women's national volleyball team;Penn State Nittany Lions women's volleyball
W-2026-688	Q61944285	ncaa	Brittany Abercrombie	1995-12-28	30	Instagram:brittanyabercrombie	-	https://usctrojans.com/roster.aspx?rp_id=6035	https://en.wikipedia.org/wiki/Brittany_Abercrombie	Puerto Rico women's national volleyball team;USC Trojans women's volleyball
W-2026-689	Q46998410	ncaa	Emily Thater	1995-02-01	31	Instagram:emilythater;X:emilythater	VBL database;Volleybox	https://mutigers.com/sports/womens-volleyball/roster/emily-thater/5180	-	Missouri Tigers women's volleyball
W-2026-690	Q24956528	ncaa	Megan Courtney	1993-10-27	32	Instagram:megcourt17	-	-	https://en.wikipedia.org/wiki/Megan_Courtney	Penn State Nittany Lions women's volleyball
W-2026-691	Q55217322	ncaa	Chiaka Ogbogu	1995-04-15	31	Instagram:chiaka11;X:ChiakaOgbogu	Olympedia	-	https://en.wikipedia.org/wiki/Chiaka_Ogbogu	United States women's national volleyball team;Texas Longhorns women's volleyball
W-2026-692	Q89920715	ncaa	Jenna Gray	1998-02-28	28	Instagram:jmoneyyy222	VBL database	https://www.dresdnersportclub.de/news/verein/item/6075-us-amerikanerin-jenna-gray-verstaerkt-den-dsc-im-zuspiel	https://en.wikipedia.org/wiki/Jenna_Gray	Stanford Cardinal women's volleyball
W-2026-693	Q138018834	ncaa	Romana Redondo Krišková	1993-05-02	33	Instagram:romanakriskova	FIVB database;Volleybox;WorldofVolley	https://vcuathletics.com/sports/womens-volleyball/roster/romana-kriskova/3005	-	VCU Rams women's volleyball;Wisconsin Badgers women's volleyball
W-2026-694	Q68193497	ncaa	Karis Watson	1992-12-30	33	Instagram:karisw8	VBL database;FIVB database	-	-	Clemson Tigers women's volleyball
W-2026-695	Q56044679	ncaa	Krystal Rivers	1994-05-23	32	Instagram:krysdenise	-	https://www.cev.eu/Competition-Area/PlayerDetails.aspx?TeamID=10583&PlayerID=72414&ID=1037	https://en.wikipedia.org/wiki/Krystal_Rivers	United States women's national volleyball team;Alabama Crimson Tide women's volleyball
W-2026-696	Q58011215	ncaa	Naya Crittenden	1995-06-15	31	Instagram:nayacrittenden	-	https://www.legavolleyfemminile.it/?page_id=194&idat=CRI-NAY-95	-	Oregon Ducks women's volleyball;Illinois Fighting Illini women's volleyball
W-2026-697	Q84564888	ncaa	Ainise Havili	1996-04-24	30	Instagram:ahavili;X:ainisehavili	VBL database	-	-	Kansas Jayhawks women's volleyball
W-2026-698	Q115788745	ncaa	Sydney Hilley	1998-07-24	28	Instagram:sydneyhilley;TikTok:sydneyhilley	Volleybox;WorldofVolley	-	-	Wisconsin Badgers women's volleyball
W-2026-699	Q59209361	ncaa	Haleigh Washington	1995-09-22	30	Instagram:hales__storm;X:Hales__Yeah	Olympedia	https://www.volleyball.world/en/volleyball/ioqt/2019/women-pool3/teams/usa-usa/players/haleigh_washington?id=75733	https://en.wikipedia.org/wiki/Haleigh_Washington	United States women's national volleyball team;Penn State Nittany Lions women's volleyball
W-2026-700	Q59215854	ncaa	Danielle Cuttino	1996-06-22	30	Instagram:daniellecuttino	-	-	https://en.wikipedia.org/wiki/Danielle_Cuttino	United States women's national volleyball team;Purdue Boilermakers women's volleyball
