# Session 13 selection audit — every promoted entry with its evidence links (generated 2026-09-06).
# entryId	qid	group	name	dob	age	country	handles	dobSources	referenceUrls	teams
W-2026-302	Q135189451	ncaa	Aurora Papac	2005-04-27	21	United States	Instagram:aurorapapac	Volleybox	-	Arizona State Sun Devils women's volleyball;Kansas Jayhawks women's volleyball
W-2026-303	Q130241801	ncaa	Marta Levinska	2001-09-06	25	United States	Instagram:martalevinska	VBL database;Volleybox;FIVB database	-	Arizona State Sun Devils women's volleyball
W-2026-304	Q131821875	ncaa	Kamaile Hiapo	2000-10-05	25	United States	Instagram:maimaihiapo;X:maimaihiapo;TikTok:maimaihiapo	Volleybox	https://arizonawildcats.com/sports/womens-volleyball/roster/kamaile-hiapo/13926	Arizona Wildcats women's volleyball;BYU Cougars women's volleyball
W-2026-305	Q135466601	ncaa	Taylor Smith	2001-11-14	24	United States	Instagram:tayylorhsmith;X:tayylorhead	Volleybox	-	Arkansas Razorbacks women's volleyball;Florida State Seminoles women's volleyball
W-2026-306	Q138806691	ncaa	Bel Zimmerman	2004-06-01	22	United States	Instagram:bel.zimmerman	Volleybox	https://auburntigers.com/sports/volleyball/roster/player/bel-zimmerman	Auburn Tigers women's volleyball
W-2026-307	Q139665331	ncaa	Averi Carlson	2003-06-14	23	United States	Instagram:averi.carlson;X:carlson_averi	Volleybox	-	Baylor Bears women's volleyball;SMU Mustangs women's volleyball;Texas Longhorns women's volleyball
W-2026-308	Q124556352	ncaa	Yossiana Coughlin	1999-04-15	27	United States	Instagram:yossiana22_	Volleybox;FIVB database	-	Baylor Bears women's volleyball
W-2026-309	Q137901503	ncaa	Iane Henke	2002-07-11	24	United States	Instagram:ianehenke;TikTok:ianehenke18	VBL database;Volleybox;FIVB database	-	Cal State Los Angeles Golden Eagles women's beach volleyball;Cal State Los Angeles Golden Eagles women's volleyball;Florida State Seminoles women's beach volleyball;Florida State Seminoles women's volleyball
W-2026-310	Q140374146	ncaa	Claire Ammeraal	2004-04-27	22	United States	Instagram:claireammeraal	Volleybox	https://hawkeyesports.com/sports/wvball/roster/player/claire-ammeraal	Central Michigan Chippewas women's volleyball;Iowa Hawkeyes women's volleyball
W-2026-311	Q139710520	ncaa	Camryn Hannah	2002-02-24	24	United States	Instagram:camrynhannah	Volleybox	-	Clemson Tigers women's volleyball;Penn State Nittany Lions women's volleyball
W-2026-312	Q118118553	ncaa	Kateryna Tkachenko	2003-05-03	23	United States	Instagram:_tkachenko_kateryna_;YouTube:UCCJc_XqEmNek74nJh1QbNJA	Volleybox;FIVB database	-	Clemson Tigers women's volleyball;Oregon State Beavers women's volleyball
W-2026-313	Q140374054	ncaa	Malaya Jones	2002-12-03	23	United States	Instagram:malayacarolynn	Volleybox	https://csurams.com/sports/womens-volleyball/roster/malaya-jones/13201;https://usctrojans.com/sports/womens-volleyball/roster/malaya-jones/11192	Colorado State Rams women's volleyball;SMU Mustangs women's volleyball;USC Trojans women's volleyball
W-2026-314	Q139666173	ncaa	Ava Martin	2004-08-25	22	United States	Instagram:avajomartin_;X:avajomartin	Volleybox	-	Creighton Bluejays women's volleyball
