# Session 14 discovery pool — curated from Wikidata SPARQL (fetched 2026-09-07).
# qid|name|dob|country|group|ig|x|tt|refUrl|teams...
Q125957862|Alondra Tapia|2004-05-19|Dominican Republic|intl|alondra_tapia19|||https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/players/183317#attack
Q124425023|Nina Boledovičová|2004-05-16|Slovakia|ncaa|nina.boledovic|||https://vcuathletics.com/sports/womens-volleyball/roster/nina-boledovicova/6469
Q113532625|Anastasija Ivković|2005-02-03|Serbia|intl|ivkoviccanastasija||ivkoviccanastasija|https://women.volleybox.net/anastasija-ivkovic-p55652/clubs
Q129368653|Maeva Schalk|2005-12-14|France|intl|maevaschalk||maevaschalk|https://www.lequipe.fr/Volley-ball/UniverselFicheJoueur183786.html
Q112136844|Martha Anthouli|2004-08-13|Greece|intl|anthouli.martha|||http://www.worldofvolley.com/wov-community/players/153312.html
Q106627500|Pauline Bietau|2004-04-30|Germany|intl|pauline.bietau|||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743414370&hideHistoryBackButton=true
Q118677569|Mehrana Shabgard|2005-04-10|Iran|intl|meh_rana11|||https://women.volleybox.net/mehrana-shabgard-p146802
Q108777385|Sakura Kurosu|2003-01-10|Japan|intl|____sara04|||https://www.vleague.jp/women/player_detail/4225
Q124637231|Sophia Fallah|2004-11-23|Germany|intl|sophiafallah_|||https://sportinternat-muenster.de/user/221
Q125635724|Noa de Vos|2004-04-24|Kingdom of the Netherlands|intl|noadevos_|||https://women.volleybox.net/nl/noa-de-vos-p30944/clubs
Q108933259|Émilie Respaut|2003-04-25|France|intl|emilie_respaut||lavolleyeusequidanse|https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=778624282
Q114717616|Lucía Varela|2003-08-10|Spain|intl|luciavarelag|||https://rfevb-web.dataproject.com/PlayerDetails.aspx?TeamID=792&PlayerID=5915&ID=81
Q112664215|Zoe Welz|2004-06-22|Germany|intl|zoe_wlz|||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=751336469&hideHistoryBackButton=true
Q135219224|Katarina Drobac|2005-07-31|Croatia|intl|katarinadrobac|||https://women.volleybox.net/katarina-drobac-p56295/clubs
Q138806691|Bel Zimmerman|2004-06-01|United States|ncaa|bel.zimmerman|||https://auburntigers.com/sports/volleyball/roster/player/bel-zimmerman
Q139306071|Simona Slivková|2004-10-19|Slovakia|intl|_simonaslivkova|||https://slovakvolley.sk/page/simona-slivkova
Q139502705|Virginia Van Der Werff|2005-11-11|United States|ncaa|v.vanderwerff|||https://goislanders.com/sports/womens-volleyball/roster/virginia-van-der-werff/5459
Q139410861|Justína Matalíková|2005-01-01|Slovakia|intl|j_mtlkv|||https://slovakvolley.sk/players/5666
Q135229466|Adrienn Vamos|2003-05-06|Hungary|intl|adriennvamos|||https://women.volleybox.net/hu/adrienn-vamos-p16409/clubs
Q139306123|Kamila Slivková|2004-01-01|Slovakia|intl|slivkovakamila_|||https://slovakvolley.sk/players/241
Q139399495|Nela Žiačíková|2005-01-01|Slovakia|intl|nelaziacik|||https://slovakvolley.sk/players/1585
Q100654910|Mia Kirchhoff|2004-09-10|Germany|intl|miakirchhoff_|||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=777707095
Q80587490|Allanis Navas|2002-01-04|United States|beach|allanis.navas|allanisnavas4||http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=161681
Q105201345|Katja Stam|1998-10-03|Kingdom of the Netherlands|beach|katjastam|||http://www.bvbinfo.com/player.asp?ID=16917
Q71717902|Rachel Cockrell|1992-04-17|Canada|beach||rachelcockrell||https://volleyball.ca/en/athletes/rachel-cockrell
Q85871654|Esmée Böbner|1999-11-03|Switzerland|beach|esmeeboebner|||http://www.bvbinfo.com/player.asp?ID=16241
Q99522833|Denyse Mutatsimpundu|1993-05-27|Rwanda|beach|denysemutatsimpundu2|||http://www.bvbinfo.com/player.asp?ID=12812
Q85879035|Zoé Vergé-Dépré|1998-02-23|Switzerland|beach|zoe.vergedepre|||https://www.fivb.com/en/beachvolleyball/beachplayersdatabase/152865-zoc3a9-vergc3a9-dc3a9prc3a9
Q105201948|Raïsa Schoon|2001-10-03|Kingdom of the Netherlands|beach|raisaschoon|||http://www.bvbinfo.com/player.asp?ID=16919
Q107113677|Jacqueline Quade|1997-12-01|United States|intl|jacqueline_quade|||https://www.dresdnersportclub.de/news/verein/item/6264-jacqueline-quade-kommt-fuer-den-dsc-aussenangriff
Q105296741|Amanda Harnett|1997-03-13|Canada|beach|amandaharnett|||https://olympic.ca/team-canada/amanda-harnett/
Q71718453|Charlotte Sider|1992-08-31|Canada|beach|charlottesider|cjsider||https://volleyball.ca/en/athletes/charlotte-sider
Q80699175|Nicole Alessandra Nogales|2001-03-08|Bolivia|beach|nicole.nogales|||http://www.fivb.org/EN/BeachVolleyball/Player_DataDB.asp?No=161859
Q67801076|Renate Bjerland|1999-06-11|UNKNOWN|beach|renatebjerland|||https://www.cev.eu/PlayerDetail.aspx?PlayerID=60716
