# Session 18 fashion/fitness-model Wikidata sweep (2026-09-07). selection audit (generated 2026-09-07).
# entryId	qid	name	dob	age	occ	handles	referenceUrls	wiki	flags
W-2026-1189	Q100249843	Sita Abellán	1993-03-27	33	model	Instagram:sitabellan	-	https://en.wikipedia.org/wiki/Sita_Abellán	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1190	Q100308188	Stella Belmondo	2003-08-13	23	model	Instagram:stellabelmondo	https://www.programme-tv.net/biographie/260660-belmondo-stella/	-	-
W-2026-1191	Q100318	Lara-Isabelle Rentinck	1986-08-18	40	model	Instagram:laraisabellerentinck	-	https://en.wikipedia.org/wiki/Lara-Isabelle_Rentinck	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1192	Q100329044	Abril Montilla	2000-10-03	25	model	Instagram:abrilmontilla_	-	https://en.wikipedia.org/wiki/Abril_Montilla	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1193	Q1004398	Asumi Nakada	1988-04-05	38	fashion model	Instagram:asumi.nakada	-	https://en.wikipedia.org/wiki/Asumi_Nakada	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1194	Q100587672	Fatou Samba	1995-03-25	31	model	Instagram:b_fatou_s	-	https://en.wikipedia.org/wiki/Fatou_Samba	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1195	Q100768091	Elísabet Hulda Snorradóttir	1998-12-03	27	model	Instagram:elisabet_hulda	-	https://en.wikipedia.org/wiki/Elísabet_Hulda_Snorradóttir	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1196	Q100791874	Shudufhadzo Musida	1996-07-18	30	model	Instagram:shudufhadzomusida	-	https://en.wikipedia.org/wiki/Shudufhadzo_Musida	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1197	Q100805871	Rabiya Mateo	1996-11-14	29	model	Instagram:rabiyamateo	-	https://en.wikipedia.org/wiki/Rabiya_Mateo	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1198	Q100906570	Nova Stevens	1993-05-25	33	model	Instagram:thenovastevens	-	https://en.wikipedia.org/wiki/Nova_Stevens	AGE_EVIDENCE_WIKIPEDIA_ONLY
