# Session 19 fashion/fitness-model continuation (2026-09-07). Wikidata P106 sweep OFFSET 250–400 + influencer P854.
# qid|name|dob|ig|tt|occ|refUrl|wiki
# Queries: data/research/urls/s18_prom_off{250,300,350,400}.url and s18_inf_off0.url
Q108289|Doutzen Kroes|1985-01-23|doutzen||model||https://en.wikipedia.org/wiki/Doutzen_Kroes
Q108291851|Zaara Yesmin|1997-01-08|zaarayesmin||model||https://en.wikipedia.org/wiki/Zaara_Yesmin
Q108291862|Tokischa|1996-03-17|tokischa.popola||model||https://en.wikipedia.org/wiki/Tokischa
Q1083729|Dree Hemingway|1987-12-04|dreelouisehemingway||model||https://en.wikipedia.org/wiki/Dree_Hemingway
Q108383943|Dora Postigo|2004-04-09|ucancallmedora||model||https://en.wikipedia.org/wiki/Dora_Postigo
Q108455447|Vanessa Coello|1995-09-01|vacoello||model||https://en.wikipedia.org/wiki/Vanessa_Coello
Q108489640|Marie-Thérèse Kaiser|1996-11-28|kaiser.afd|hallofraukaiser|model||https://en.wikipedia.org/wiki/Marie-Thérèse_Kaiser
Q108523798|Durefishan Saleem|1996-01-14|durefishans||model||https://en.wikipedia.org/wiki/Durefishan_Saleem
Q108547788|Quannah Chasinghorse|2002-06-07|quannah.rose|quannah.rose|model|https://wearemitu.com/wearemitu/entertainment/indigenous-model-activist-quannah-chasinghorse-met-gala/|https://en.wikipedia.org/wiki/Quannah_Chasinghorse
Q10855828|Kim Sae-rom|1987-10-02|moreasy||model||https://en.wikipedia.org/wiki/Kim_Sae-rom
Q10855852|Youn-a|1985-10-29|youn1029||fashion model||https://en.wikipedia.org/wiki/Youn-a
Q108599989|Amara Shune Lei|1996-01-01|amara.shunelei||model||https://en.wikipedia.org/wiki/Amara_Shune_Lei
Q108602449|Zeinab Harake|1998-12-11|zeinab.harake.official||model|https://www.famousbirthdays.com/people/zeinab-harake.html|https://en.wikipedia.org/wiki/Zeinab_Harake
Q108617522|Liziane Gutierrez|1986-03-31|liziane_gutierrez||model|https://metropolitanafm.com.br/liziane-gutierrez|
Q108632859|Almudena Amor|1994-03-30|almudena_amor||model||https://en.wikipedia.org/wiki/Almudena_Amor
Q108660931|Auri López|1999-12-28|aurilopez_||model||https://en.wikipedia.org/wiki/Auri_López
Q108661959|Nour Ardakani|2001-11-30|nourardakani|noursmusic|model||https://en.wikipedia.org/wiki/Nour_Ardakani
Q108722847|Yane Tamaki|1998-07-30|yanemint|yanemint|model|https://miss-id.jp/nominee/4837|
Q10872855|Nabilla Benattia|1992-02-05|nabilla||model|http://www.lepoint.fr/societe/la-folle-jeunesse-de-nabilla-08-05-2013-1664679_23.php|https://en.wikipedia.org/wiki/Nabilla_Benattia
Q108731859|Vaishnavi Gowda|1992-02-20|iamvaishnavioffl||model||https://en.wikipedia.org/wiki/Vaishnavi_Gowda
Q108746871|Jade Picon|2001-09-24|jadepicon||model|https://www.famousbirthdays.com/people/jade-picon.html|https://en.wikipedia.org/wiki/Jade_Picon
Q108753890|Beatrice Gomez|1995-02-24|beatriceluigigmz||model||https://en.wikipedia.org/wiki/Beatrice_Gomez
Q108756568|Harnaaz Sandhu|2000-03-03|harnaazsandhu_03||model|https://www.jagranjosh.com/general-knowledge/harnaaz-sandhu-bioghraphy-1639369435-1|https://en.wikipedia.org/wiki/Harnaaz_Sandhu
Q108761863|Michelle Marie Colón|2000-09-01|michellemariecolon||model||https://en.wikipedia.org/wiki/Michelle_Colón
Q108769415|Châu Bùi|1997-11-03|chaubui_||model||https://en.wikipedia.org/wiki/Châu_Bùi
