# Session 20 fashion/fitness-model Wikidata continuation (2026-09-06). selection audit (generated 2026-09-06).
# entryId	qid	name	dob	age	occ	handles	referenceUrls	wiki	flags
W-2026-1456	Q112981	Yu Wenxia	1989-08-06	37	model	Instagram:yuwenxia	-	https://en.wikipedia.org/wiki/Yu_Wenxia	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1457	Q11227424	Kaede	1996-01-11	30	model	Instagram:twin_tower_ldh;TikTok:happiness_kaede	-	https://en.wikipedia.org/wiki/Kaede_(dancer)	AGE_EVIDENCE_WIKIPEDIA_ONLY,NAME_ALIAS_IN_WIKIPEDIA
W-2026-1458	Q11239259	Nozomi Maeda	1993-06-16	33	fashion model	Instagram:maeda_nozomi;TikTok:maedanozomi	-	https://en.wikipedia.org/wiki/Nozomi_Maeda	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1459	Q11240765	Aoi Morikawa	1995-06-17	31	model	Instagram:morikawa_aoi	-	https://en.wikipedia.org/wiki/Aoi_Morikawa	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1460	Q11242380	Ayaka Miyoshi	1996-06-18	30	fashion model	Instagram:miyoshi.aa	-	https://en.wikipedia.org/wiki/Ayaka_Miyoshi	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1461	Q11248484	Rina Sawayama	1988-10-13	37	model	Instagram:rinasawayama	-	https://en.wikipedia.org/wiki/Rina_Sawayama_(model)	AGE_EVIDENCE_WIKIPEDIA_ONLY,NAME_ALIAS_IN_WIKIPEDIA
W-2026-1462	Q11248718	Rikako Sakata	1993-12-16	32	model	Instagram:rikakosakata_official	-	https://en.wikipedia.org/wiki/Rikako_Sakata	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1463	Q11255778	Tao Tsuchiya	1995-02-03	31	model	Instagram:taotsuchiya_official;TikTok:taotsuchiya_sato	https://www.sma.co.jp/s/sma/artist/235	https://en.wikipedia.org/wiki/Tao_Tsuchiya	-
W-2026-1464	Q11256177	Mayuko Arisue	1992-01-25	34	model	Instagram:mayukoarisue	-	https://en.wikipedia.org/wiki/Mayuko_Arisue	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1465	Q11269871	Sumire Matsubara	1990-07-15	36	model	Instagram:sumire808	-	https://en.wikipedia.org/wiki/Sumire_Matsubara	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1466	Q11277818	Rin Honoka	1996-10-04	29	fashion model	Instagram:lynnhonoka	-	https://en.wikipedia.org/wiki/Rin_Honoka	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1467	Q11291009	ELLI-ROSE	1986-09-25	39	fashion model	Instagram:ellirose	-	https://en.wikipedia.org/wiki/Elli_Rose	AGE_EVIDENCE_WIKIPEDIA_ONLY,NAME_ALIAS_IN_WIKIPEDIA
W-2026-1468	Q11305047	Sahel Rosa	1985-10-21	40	model	Instagram:sa_chan_1021	https://movie.douban.com/celebrity/1317780	https://en.wikipedia.org/wiki/Sahel_Rosa	-
W-2026-1469	Q112159319	Cindy May McGuire	1996-06-27	30	model	Instagram:cindymaymcguire;TikTok:dr.sour_candy	-	https://en.wikipedia.org/wiki/Cindy_May_McGuire	AGE_EVIDENCE_WIKIPEDIA_ONLY
W-2026-1470	Q112159431	Selin Yeninci	1988-01-16	38	model	Instagram:selinyeninci	https://www.kimnereli.net/selin-yeninci.html	https://en.wikipedia.org/wiki/Selin_Yeninci	-
W-2026-1471	Q112206018	Camila Kendra	1998-08-25	28	model	Instagram:camila.kendra	https://latestinbollywood.com/camila-kendra/	-	-
W-2026-1472	Q112213837	Deva Cassel	2004-09-12	21	model	Instagram:devacassel	https://www.gossiptrip.it/people/deva-cassel-bellissima-figlia-monica-bellucci_533080_578700.htm?lang=ES	https://en.wikipedia.org/wiki/Deva_Cassel	-
